Timestamp,Target_X,Actual_X,Error,PWM_Command,Kp,Ki,Kd
0.088,-7.919,5.380,-18.883,-1.000,0.500,0.000,0.000
0.188,-7.919,5.380,-18.883,-1.000,0.500,0.000,0.000
0.288,-7.919,5.377,-18.878,-1.000,0.500,0.000,0.000
0.388,-7.919,5.367,-18.864,-1.000,0.500,0.000,0.000
0.488,-7.919,5.349,-18.840,-1.000,0.500,0.000,0.000
0.588,-7.919,5.324,-18.805,-1.000,0.500,0.000,0.000
0.688,-7.919,5.291,-18.761,-1.000,0.500,0.000,0.000
0.788,-7.919,5.251,-18.707,-1.000,0.500,0.000,0.000
0.888,-7.919,5.203,-18.643,-1.000,0.500,0.000,0.000
0.988,-7.919,5.148,-18.566,-1.000,0.500,0.000,0.000
1.088,-7.919,5.089,-18.460,-1.000,0.500,0.000,0.000
1.188,-7.919,5.025,-18.305,-1.000,0.500,0.000,0.000
1.288,-7.919,4.955,-18.067,-1.000,0.500,0.000,0.000
1.388,-7.919,4.879,-17.705,-1.000,0.500,0.000,0.000
1.488,-7.919,4.795,-17.177,-1.000,0.500,0.000,0.000
1.588,-7.919,4.707,-16.502,-1.000,0.500,0.000,0.000
1.688,-7.919,4.615,-15.719,-1.000,0.500,0.000,0.000
1.788,-7.919,4.520,-14.847,-1.000,0.500,0.000,0.000
1.888,-7.919,4.423,-13.906,-1.000,0.500,0.000,0.000
1.988,-7.919,4.325,-12.909,-1.000,0.500,0.000,0.000
2.088,-7.919,4.226,-11.866,-1.000,0.500,0.000,0.000
2.188,-7.919,4.127,-10.807,-1.000,0.500,0.000,0.000
2.288,-7.919,4.028,-9.714,-1.000,0.500,0.000,0.000
2.388,-7.919,3.929,-8.609,-1.000,0.500,0.000,0.000
2.488,-7.919,3.831,-7.502,-1.000,0.500,0.000,0.000
2.588,-7.919,3.735,-6.400,-1.000,0.500,0.000,0.000
2.688,-7.919,3.641,-5.309,-1.000,0.500,0.000,0.000
2.788,-7.919,3.549,-4.231,-1.000,0.500,0.000,0.000
2.888,-7.919,3.460,-3.176,-1.000,0.500,0.000,0.000
2.988,-7.919,3.374,-2.143,-1.000,0.500,0.000,0.000
3.088,-7.919,3.291,-1.137,-0.568,0.500,0.000,0.000
3.188,-7.919,3.211,-0.157,-0.078,0.500,0.000,0.000
3.288,-7.919,3.135,1.222,0.611,0.500,0.000,0.000
3.388,-7.919,3.068,2.677,1.000,0.500,0.000,0.000
3.488,-7.919,3.012,4.108,1.000,0.500,0.000,0.000
3.588,-7.919,2.964,5.507,1.000,0.500,0.000,0.000
3.688,-7.919,2.926,6.862,1.000,0.500,0.000,0.000
3.788,-7.919,2.897,8.166,1.000,0.500,0.000,0.000
3.888,-7.919,2.878,9.409,1.000,0.500,0.000,0.000
3.988,-7.919,2.868,10.586,1.000,0.500,0.000,0.000
4.088,-7.919,2.864,11.691,1.000,0.500,0.000,0.000
4.188,-7.919,2.863,12.719,1.000,0.500,0.000,0.000
4.288,-7.919,2.863,13.681,1.000,0.500,0.000,0.000
4.388,-7.919,2.863,14.539,1.000,0.500,0.000,0.000
4.488,-7.919,2.860,15.282,1.000,0.500,0.000,0.000
4.588,-7.919,2.852,15.899,1.000,0.500,0.000,0.000
4.688,-7.919,2.840,16.384,1.000,0.500,0.000,0.000
4.788,-7.919,2.821,16.738,1.000,0.500,0.000,0.000
4.888,-7.919,2.794,16.964,1.000,0.500,0.000,0.000
4.988,-7.919,2.758,17.065,1.000,0.500,0.000,0.000
5.088,-7.919,2.713,17.041,1.000,0.500,0.000,0.000
