Timestamp,Target_X,Actual_X,Error,PWM_Command,Kp,Ki,Kd
0.095,3.500,-0.003,3.504,1.000,0.500,0.000,0.000
0.194,3.500,-0.002,3.503,1.000,0.500,0.000,0.000
0.294,3.500,0.006,3.494,1.000,0.500,0.000,0.000
0.395,3.500,0.024,3.476,1.000,0.500,0.000,0.000
0.495,3.500,0.052,3.449,1.000,0.500,0.000,0.000
0.594,3.500,0.089,3.412,1.000,0.500,0.000,0.000
0.695,3.500,0.135,3.366,1.000,0.500,0.000,0.000
0.794,3.500,0.191,3.310,1.000,0.500,0.000,0.000
0.895,3.500,0.256,3.245,1.000,0.500,0.000,0.000
0.995,3.500,0.330,3.171,1.000,0.500,0.000,0.000
1.095,3.500,0.414,3.089,1.000,0.500,0.000,0.000
1.195,3.500,0.504,3.029,1.000,0.500,0.000,0.000
1.294,3.500,0.598,3.007,1.000,0.500,0.000,0.000
1.395,3.500,0.696,3.027,1.000,0.500,0.000,0.000
1.495,3.500,0.795,3.040,1.000,0.500,0.000,0.000
1.594,3.500,0.894,3.041,1.000,0.500,0.000,0.000
1.694,3.500,0.992,3.034,1.000,0.500,0.000,0.000
1.794,3.500,1.089,3.018,1.000,0.500,0.000,0.000
1.894,3.500,1.185,2.995,1.000,0.500,0.000,0.000
1.994,3.500,1.279,2.965,1.000,0.500,0.000,0.000
2.095,3.500,1.371,2.927,1.000,0.500,0.000,0.000
2.194,3.500,1.461,2.882,1.000,0.500,0.000,0.000
2.294,3.500,1.550,2.829,1.000,0.500,0.000,0.000
2.394,3.500,1.635,2.770,1.000,0.500,0.000,0.000
2.494,3.500,1.718,2.704,1.000,0.500,0.000,0.000
2.595,3.500,1.797,2.631,1.000,0.500,0.000,0.000
2.694,3.500,1.874,2.552,1.000,0.500,0.000,0.000
2.795,3.500,1.948,2.466,1.000,0.500,0.000,0.000
2.894,3.500,2.018,2.375,1.000,0.500,0.000,0.000
2.994,3.500,2.083,2.278,1.000,0.500,0.000,0.000
3.094,3.500,2.146,2.177,1.000,0.500,0.000,0.000
3.194,3.500,2.205,2.075,1.000,0.500,0.000,0.000
3.294,3.500,2.263,1.975,0.988,0.500,0.000,0.000
3.395,3.500,2.322,1.876,0.938,0.500,0.000,0.000
3.494,3.500,2.381,1.778,0.889,0.500,0.000,0.000
3.595,3.500,2.441,1.682,0.841,0.500,0.000,0.000
3.694,3.500,2.496,1.593,0.797,0.500,0.000,0.000
3.795,3.500,2.549,1.510,0.755,0.500,0.000,0.000
3.895,3.500,2.598,1.432,0.716,0.500,0.000,0.000
3.995,3.500,2.645,1.357,0.678,0.500,0.000,0.000
4.094,3.500,2.689,1.286,0.643,0.500,0.000,0.000
4.195,3.500,2.731,1.219,0.610,0.500,0.000,0.000
4.295,3.500,2.771,1.156,0.578,0.500,0.000,0.000
4.395,3.500,2.808,1.096,0.548,0.500,0.000,0.000
4.495,3.500,2.844,1.039,0.520,0.500,0.000,0.000
4.594,3.500,2.878,0.985,0.493,0.500,0.000,0.000
4.694,3.500,2.910,0.934,0.467,0.500,0.000,0.000
4.795,3.500,2.941,0.886,0.443,0.500,0.000,0.000
4.894,3.500,2.970,0.840,0.420,0.500,0.000,0.000
4.995,3.500,2.997,0.796,0.398,0.500,0.000,0.000
5.094,3.500,3.023,0.755,0.377,0.500,0.000,0.000
5.195,3.500,3.048,0.716,0.358,0.500,0.000,0.000
5.295,3.500,3.071,0.679,0.339,0.500,0.000,0.000
5.395,3.500,3.093,0.644,0.322,0.500,0.000,0.000
5.495,3.500,3.114,0.610,0.305,0.500,0.000,0.000
5.595,3.500,3.134,0.579,0.289,0.500,0.000,0.000
5.695,3.500,3.153,0.549,0.274,0.500,0.000,0.000
5.795,3.500,3.171,0.520,0.260,0.500,0.000,0.000
5.895,3.500,3.188,0.493,0.247,0.500,0.000,0.000
5.994,3.500,3.204,0.468,0.234,0.500,0.000,0.000
6.094,3.500,3.219,0.444,0.222,0.500,0.000,0.000
6.194,3.500,3.233,0.421,0.210,0.500,0.000,0.000
6.295,3.500,3.247,0.399,0.199,0.500,0.000,0.000
6.395,3.500,3.260,0.378,0.189,0.500,0.000,0.000
6.494,3.500,3.273,0.359,0.179,0.500,0.000,0.000
6.595,3.500,3.284,0.340,0.170,0.500,0.000,0.000
6.694,3.500,3.295,0.323,0.161,0.500,0.000,0.000
6.794,3.500,3.306,0.306,0.153,0.500,0.000,0.000
6.895,3.500,3.316,0.290,0.145,0.500,0.000,0.000
6.995,3.500,3.325,0.275,0.138,0.500,0.000,0.000
7.094,3.500,3.334,0.261,0.130,0.500,0.000,0.000
7.195,3.500,3.343,0.247,0.124,0.500,0.000,0.000
7.295,3.500,3.351,0.235,0.117,0.500,0.000,0.000
7.395,3.500,3.358,0.222,0.111,0.500,0.000,0.000
7.495,3.500,3.366,0.211,0.105,0.500,0.000,0.000
7.595,3.500,3.373,0.200,0.100,0.500,0.000,0.000
7.694,3.500,3.379,0.190,0.095,0.500,0.000,0.000
7.794,3.500,3.385,0.180,0.090,0.500,0.000,0.000
7.895,3.500,3.391,0.171,0.085,0.500,0.000,0.000
7.995,3.500,3.397,0.162,0.081,0.500,0.000,0.000
8.094,3.500,3.402,0.154,0.077,0.500,0.000,0.000
8.194,3.500,3.407,0.146,0.073,0.500,0.000,0.000
8.295,3.500,3.412,0.138,0.069,0.500,0.000,0.000
8.394,3.500,3.416,0.131,0.066,0.500,0.000,0.000
